date,province,x,y
2020-03-01,Albacete,-1.4846942,-94.53537
2020-03-02,Albacete,-1.6552771,-88.9177
2020-03-03,Albacete,0.31973565,-84.46273
2020-03-04,Albacete,6.6168838,-83.38671
2020-03-05,Albacete,18.43698,-62.207165
2020-03-06,Albacete,17.027578,-60.223682
2020-03-07,Albacete,12.136538,-61.398193
2020-03-08,Albacete,7.646031,-55.61026
2020-03-09,Albacete,-4.592379,-55.035023
2020-03-10,Albacete,-38.278114,-58.122826
2020-03-11,Albacete,-48.761215,-42.442776
2020-03-12,Albacete,-49.509575,-25.48737
2020-03-13,Albacete,-35.40496,-3.316183
2020-03-14,Albacete,-27.982544,4.978037
2020-03-15,Albacete,-13.609145,-19.47145
2020-03-16,Albacete,-8.865834,-24.919775
2020-03-17,Albacete,-9.366147,-25.496777
2020-03-18,Albacete,-14.345383,-22.55172
2020-03-19,Albacete,-55.071354,-2.0513935
2020-03-20,Albacete,-60.567482,-13.163513
2020-03-21,Albacete,-61.28086,-24.387201
2020-03-22,Albacete,-61.846733,-31.76719
2020-03-23,Albacete,-61.456028,-37.24341
2020-03-24,Albacete,-61.229294,-41.315994
2020-03-25,Albacete,-78.2133,-30.096928
2020-03-26,Albacete,-77.9445,-30.22252
2020-03-27,Albacete,-82.4822,-21.695164
2020-03-28,Albacete,-83.96289,-16.993206
2020-03-29,Albacete,-84.64551,-14.409085
2020-03-30,Albacete,-84.23953,-9.491597
2020-03-31,Albacete,-84.199165,-5.7932878
2020-04-01,Albacete,-40.119328,53.51109
2020-04-02,Albacete,-38.549217,56.93015
2020-04-03,Albacete,-34.393147,59.504406
2020-04-04,Albacete,-32.938263,60.480885
2020-04-05,Albacete,-28.50057,62.38945
2020-04-06,Albacete,-26.71418,64.29428
2020-04-07,Albacete,-26.209045,64.84404
2020-04-08,Albacete,-25.317778,65.81735
2020-04-09,Albacete,-21.231094,67.30363
2020-04-10,Albacete,-15.672175,69.99953
2020-04-11,Albacete,-13.976416,70.758316
2020-04-12,Albacete,-10.503113,71.925865
2020-04-13,Albacete,-8.234583,72.15373
2020-04-14,Albacete,-7.818173,72.02449
2020-04-15,Albacete,-7.382595,71.99712
2020-04-16,Albacete,-7.1019163,71.47427
2020-04-17,Albacete,-9.3239565,69.58799
2020-04-18,Albacete,-7.5310073,70.247475
